,IATA_CODE,AIRPORT,CITY,LATITUDE,LONGITUDE,IATA_CODE,YEAR
,,,,,,len,len
,,,,,,,
290,SRQ,Sarasota-Bradenton International Airport,Sarasota,27.395329999999998,-82.55411,3370,3370
291,STC,St. Cloud Regional Airport,St Cloud,45.545320000000004,-94.05834,83,83
292,STL,St. Louis International Airport at Lambert Field,St Louis,38.747690000000006,-90.35999,46963,46963
293,STT,Cyril E. King Airport,Charlotte Amalie,18.337310000000002,-64.97336,4348,4348
294,STX,Henry E. Rohlsen Airport,Christiansted,17.70189,-64.79856,939,939
295,SUN,Friedman Memorial Airport,Hailey,43.50484,-114.29659,956,956
296,SUX,Sioux Gateway Airport,Sioux City,42.4026,-96.38436999999999,620,620
297,SWF,Stewart International Airport,Newburgh,41.504090000000005,-74.10484,695,695
298,SYR,Syracuse Hancock International Airport,Syracuse,43.11119,-76.10631,5608,5608
299,TLH,Tallahassee International Airport,Tallahassee,30.39653,-84.35033,3194,3194
300,TOL,Toledo Express Airport,Toledo,41.58681,-83.80783000000001,962,962
301,TPA,Tampa International Airport,Tampa,27.97547,-82.53325,63906,63906
302,TRI,Tri-Cities Regional Airport,Bristol,36.47521,-82.40742,1928,1928
303,TTN,Trenton Mercer Airport,Trenton,40.27669,-74.81347,2830,2830
304,TUL,Tulsa International Airport,Tulsa,36.198370000000004,-95.88824,13970,13970
305,TUS,Tucson International Airport,Tucson,32.11608,-110.94103,15117,15117
306,TVC,Cherry Capital Airport,Traverse City,44.741440000000004,-85.58224,2756,2756
307,TWF,Magic Valley Regional Airport (Joslin Field),Twin Falls,42.4818,-114.48773999999999,815,815
308,TXK,Texarkana Regional Airport (Webb Field),Texarkana,33.45371,-93.99101999999999,978,978
309,TYR,Tyler Pounds Regional Airport,Tyler,32.35414,-95.40239,2300,2300
310,TYS,McGhee Tyson Airport,Knoxville,35.812490000000004,-83.99286,6963,6963
311,VEL,Valdez Airport,Vernal,40.4409,-109.50992,206,206
312,VLD,Valdosta Regional Airport,Valdosta,30.7825,-83.27672,935,935
313,VPS,Destin-Fort Walton Beach Airport/Eglin AFB,Valparaiso,30.48325,-86.5254,4868,4868
314,WRG,Wrangell Airport,Wrangell,56.48433000000001,-132.36982,664,664
